ring,year,site,box,age,sex,wing,mass,date,time,ringer
Z632386,2016,FOF,4,6,M,65,11.2,153,7:25,Recorder2
Z632387,2016,SER,4,5,F,62,10.61,153,10:20,Recorder2
Z632388,2016,SER,4,5,M,63,10.98,153,10:20,Recorder2
Z632389,2016,SER,2,5,F,65,10.71,153,10:30,Recorder2
Z632390,2016,MCH,3,5,F,60,10.53,153,11:00,Recorder2
Z632391,2016,MCH,3,6,M,66,10.62,153,11:00,Recorder2
Z632434,2016,STY,4,6,F,64,11.29,153,11:50,Recorder2
Z081094,2016,PTH,1,6,F,62,12.43,154,10:58,Recorder2
Z632392,2016,STY,2,5,F,63,10.6,154,9:00,Recorder2
Z632393,2016,STY,5,6,M,65,9.91,154,9:25,Recorder2
Z632394,2016,STY,5,6,F,62,10.98,154,9:25,Recorder2
Z632395,2016,MCH,5,6,F,62,10.73,154,11:40,Recorder2
Z632396,2016,MCH,5,5,M,65,10.53,154,11:40,Recorder2
Z632397,2016,SER,6,6,M,67,10.87,154,13:10,Recorder2
Z632398,2016,LVN,6,5,F,60,11.1,154,15:00,Recorder2
Z632399,2016,BAD,6,5,F,62,,154,15:53,Recorder2
Z632433,2016,STY,2,6,M,69,11.02,154,9:00,Recorder2
Z632495,2016,LVN,6,6,M,65,10.84,154,15:00,Recorder2
Z632546,2016,BAD,1,6,F,62,10.85,154,15:30,Recorder2
Z632627,2016,EDI,5,6,M,64,10.55,154,16:45,Recorder2
Z632637,2016,BAD,1,6,M,66,10.47,154,15:30,Recorder2
Z632878,2016,ART,3,5,F,64,10.79,154,13:30,Recorder1
Z632879,2016,ART,3,6,M,65,9.88,154,13:30,Recorder1
Z632880,2016,ART,6,6,F,64,10.42,154,13:50,Recorder1
Z632881,2016,ART,6,6,M,63,10.12,154,13:50,Recorder1
Z632882,2016,FOU,5,5,F,61,11.03,154,15:20,Recorder1
Z632883,2016,TAI,4,6,M,67,10.35,154,16:20,Recorder1
Z632949,2016,EDI,5,5,F,60,10.75,154,16:45,Recorder2
Z081102,2016,DEL,3,6,M,65,9.72,155,11:30,Recorder1
Z081139,2016,FOF,3,6,M,66,11.34,155,9:20,Recorder9
Z081936,2016,FOF,1,5,M,64,10.91,155,8:20,Recorder9
Z081954,2016,BLG,3,5,M,64,11.01,155,14:00,Recorder9
